"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03","591.86","633.03","679.30","581.13","12.59M","-5.69%"
"Dec 02","627.55","724.99","737.70","613.76","15.69M","-13.42%"
"Nov 02","724.80","652.34","725.60","643.39","20.58M","10.00%"
"Oct 02","658.92","637.81","682.81","576.49","22.42M","1.93%"
"Sep 02","646.42","739.84","755.44","639.74","13.63B","-12.22%"
"Aug 02","736.40","720.99","753.50","660.94","23.26B","2.56%"
"Jul 02","717.99","722.58","807.36","688.68","30.55B","-3.33%"
"Jun 02","742.72","793.53","832.26","699.15","13.00B","-6.74%"
"May 02","796.40","855.41","878.68","794.92","15.25B","-5.45%"
"Apr 02","842.34","900.47","943.54","829.16","14.74B","-5.94%"
"Mar 02","895.58","842.21","914.93","815.54","13.13B","9.22%"
"Feb 02","819.99","757.07","826.60","718.86","10.89B","9.61%"
"Jan 02","748.07","698.00","787.65","690.36","15.76B","7.84%"
"Dec 01","693.70","643.61","715.93","631.87","11.60B","7.74%"
"Nov 01","643.89","540.63","680.91","536.20","16.01B","19.72%"
"Oct 01","537.81","498.87","550.93","493.12","10.31B","12.12%"
"Sep 01","479.68","545.02","559.17","463.54","12.16B","-12.00%"
"Aug 01","545.11","546.30","585.36","542.00","9.65B","0.66%"
"Jul 01","541.55","593.03","600.51","512.78","5.65B","-9.00%"
"Jun 01","595.13","615.67","623.37","580.75","7.28B","-2.78%"
"May 01","612.16","586.27","633.16","572.36","11.81B","6.03%"
"Apr 01","577.36","520.56","581.63","491.21","7.08B","10.35%"
"Mar 01","523.22","574.61","579.28","516.97","7.84B","-9.49%"
"Feb 01","578.10","606.49","620.78","571.04","7.51B","-6.44%"
"Jan 01","617.91","503.31","627.45","500.97","9.51B","22.45%"
"Dec 00","504.62","490.88","560.16","489.53","5.20B","-0.91%"
"Nov 00","509.23","524.69","581.47","499.52","7.35B","-1.02%"
"Oct 00","514.48","595.68","616.22","483.58","6.67B","-16.10%"
"Sep 00","613.22","690.93","698.28","551.00","5.46B","-10.95%"
"Aug 00","688.62","710.05","754.46","665.63","6.03B","-2.46%"
"Jul 00","705.97","824.83","863.53","678.35","8.76B","-14.03%"
"Jun 00","821.22","730.55","858.34","722.24","8.78B","12.21%"
"May 00","731.88","731.76","778.46","625.14","4.94B","0.89%"
"Apr 00","725.39","866.75","880.41","688.36","4.11B","-15.74%"
"Mar 00","860.94","864.78","928.55","820.30","6.54B","3.93%"
"Feb 00","828.38","955.44","991.71","810.53","5.14B","-12.24%"
"Jan 00","943.88","1,028.33","1,066.18","875.82","4.80B","-8.19%"
"Dec 99","1,028.07","992.62","1,038.04","934.22","6.00B","3.15%"
"Nov 99","996.66","863.50","1,024.09","857.09","8.53B","19.57%"
"Oct 99","833.51","838.65","877.06","778.90","5.92B","-0.32%"
"Sep 99","836.18","944.50","984.57","836.18","5.41B","-10.84%"
"Aug 99","937.88","967.70","995.08","841.27","6.65B","-3.28%"
"Jul 99","969.72","894.40","1,052.60","860.13","8.34B","9.82%"
"Jun 99","883.00","733.28","909.33","728.34","5.27B","19.97%"
"May 99","736.02","757.60","826.04","690.04","5.04B","-2.20%"
"Apr 99","752.59","618.34","806.41","616.84","6.68B","21.59%"
"Mar 99","618.98","524.98","622.91","524.94","4.12B","19.02%"
"Feb 99","520.06","572.95","583.26","489.75","2.39B","-8.99%"
"Jan 99","571.43","575.41","651.95","531.20","5.02B","1.59%"
"Dec 98","562.46","451.85","599.32","438.42","5.49B","24.47%"
"Nov 98","451.88","406.97","467.13","393.98","4.34B","12.01%"
"Oct 98","403.44","309.52","404.62","302.71","2.56B","30.01%"
"Sep 98","310.32","309.74","338.95","287.46","1.81B","0.05%"
"Aug 98","310.16","341.85","341.85","288.06","1.85B","-9.66%"
"Jul 98","343.33","298.01","374.08","298.01","2.29B","15.26%"
"Jun 98","297.88","334.10","353.29","277.37","1.64B","-10.29%"
"May 98","332.03","418.64","418.64","301.22","1.31B","-21.17%"
"Apr 98","421.22","482.88","498.71","399.48","1.26B","-12.44%"
"Mar 98","481.04","562.66","591.70","479.52","1.83B","-13.94%"
"Feb 98","558.98","556.58","566.24","462.26","1.91B","-1.48%"
"Jan 98","567.38","374.41","587.99","372.37","2.24B","50.77%"
"Dec 97","376.31","405.52","443.51","338.94","1.82B","-7.74%"
"Nov 97","407.86","472.35","565.16","391.13","1.35B","-13.37%"
"Oct 97","470.79","646.86","655.04","462.83","920.59M","-27.25%"
"Sep 97","647.11","691.80","705.20","622.03","651.93M","-6.94%"
"Aug 97","695.37","726.84","766.70","688.27","788.03M","-4.23%"
"Jul 97","726.12","744.98","783.24","721.40","938.45M","-2.59%"
"Jun 97","745.40","758.92","799.54","737.98","1.23B","-1.50%"
"May 97","756.77","704.77","756.78","667.66","1.13B","7.61%"
"Apr 97","703.23","678.97","710.67","668.72","987.26M","3.82%"
"Mar 97","677.34","677.18","685.95","607.87","831.35M","0.12%"
"Feb 97","676.53","685.84","729.64","664.75","702.04M","-1.36%"
"Jan 97","685.84","651.22","721.79","600.56","790.24M","5.32%"
